source,target,weight
43,14,0.4755611776830723
43,3,0.4506011790645546
43,16,0.441860219459474
43,111,0.43150077581700697
44,1,0.5885126094717887
44,111,0.5874080715307666
44,97,0.5856734233038196
44,88,0.5551776268963038
44,84,0.5351863281322199
45,44,0.2640527782475059
45,29,0.2443590081147952
45,30,0.243538664508026
45,1,0.23835053138402174
45,100,0.23691172064294067
46,29,0.2818407758852396
46,30,0.2515916673973574
46,346,0.20324646197328383
46,3,0.20107400118070767
46,45,0.18683423920293518
47,1,0.6250916665863149
47,371,0.5667263780732477
47,3,0.5572217059597783
47,111,0.5517416575501204
47,97,0.546416591820304
48,152,0.21027906360906573
48,419,0.20118828976504546
48,171,0.19402927554858576
48,233,0.18585716943783143
48,146,0.18564311619154356
49,183,0.15299447369554267
49,251,0.11313314196833643
49,280,0.11054031438319445
49,95,0.10851773520107973
49,324,0.1041452398435024
50,52,0.4889359336560258
50,1,0.4625166833006024
50,441,0.44391439572491176
50,371,0.4306697208376131
50,68,0.4289711633144734
51,14,0.4996050257676705
51,1,0.4950751084949977
51,16,0.4793757889300622
51,242,0.4631963169565411
51,3,0.4579418114749089
52,1,0.7638832379885766
52,371,0.7196948991388918
52,441,0.7176325588087711
52,374,0.7146098666352134
52,54,0.6753005896259688
53,136,0.2550740695761317
53,44,0.2498334715373146
53,426,0.23046374166673225
53,111,0.2290351105426943
53,343,0.22703045662595192
54,1,0.7451902466066515
54,52,0.6753005896259688
54,374,0.6747093414556888
54,441,0.6697160568926397
54,371,0.6649771976044481
55,1,0.32404214296016665
55,111,0.3117599381320548
55,134,0.29924330406146615
55,3,0.29446198095477305
55,426,0.28937152538687677
56,242,0.34623799817774037
56,14,0.34041062178032355
56,467,0.3292920023948889
56,16,0.3260159209708754
56,3,0.3225930902292961
57,374,0.5342265045864748
57,202,0.5192676421856152
57,52,0.5146183122994853
57,1,0.4892940339706605
57,371,0.4812503012057536
58,374,0.18385638546180294
58,458,0.18334868449140374
58,57,0.17796238077096635
58,41,0.1636100346772204
58,111,0.15126250182888268
59,1,0.36098754981305214
59,371,0.3589506867255834
59,242,0.35700223723985675
59,52,0.3471402394338595
59,3,0.34167404918717437
60,62,0.5671767083110456
60,61,0.4915546672249902
60,341,0.4685085862514525
60,294,0.4661289929625487
60,425,0.4557129840938736
61,62,0.5012162554479328
61,60,0.4915546672249902
61,1,0.46547348090736035
61,16,0.43008363830508445
61,3,0.42953224656588107
62,1,0.6055257286920434
62,52,0.5700001638131409
62,60,0.5671767083110456
62,16,0.5602133635179671
62,14,0.5594351431380546
63,1,0.32785735343154676
63,111,0.30879741010239425
63,97,0.30461814238892276
63,3,0.2897090762489062
63,16,0.2888970497066033
64,1,0.5828068663505056
64,348,0.5570399280036195
64,14,0.5563249793659916
64,16,0.5537837518491664
64,3,0.546784222313767
65,247,0.41297273056053385
65,429,0.4088248847344356
65,194,0.4078123198366857
65,66,0.38630217908821934
65,467,0.3714204912597587
66,429,0.6713062776979157
66,351,0.5505814513582302
66,318,0.5452529123709351
66,446,0.535432470692853
66,450,0.5296481681484697
67,1,0.5078204349247295
67,275,0.49503717102654066
67,387,0.45961477717745736
67,52,0.4595786486352374
67,371,0.45883413907596204
68,52,0.622627059107376
68,1,0.605136898500854
68,374,0.5826320205174947
68,441,0.5823760149040705
68,371,0.5800394822635646
69,1,0.5942423736691428
69,242,0.5715241993376818
69,3,0.5660188159888336
69,14,0.5658163239791095
69,16,0.5656461600165151
70,93,0.2166737660667969
70,136,0.18685810318980217
70,411,0.18521045460434446
70,342,0.18395270126002977
70,3,0.18085078267923682
71,1,0.2553979779324371
71,374,0.24019241375179223
71,111,0.23900122144178493
71,54,0.2225412676497564
71,202,0.2188263400540573
72,1,0.33008050094183994
72,3,0.32555693262794594
72,16,0.307284691706592
72,36,0.30196894322458634
72,97,0.2964364910291373
73,1,0.4301210922568222
73,242,0.41615889870442313
73,467,0.4111430794368393
